Year,GDP growth (annual %),GDP per capita (constant LCU),GDP per capita (current LCU),GDP (current LCU),GDP (constant LCU),GDP deflator (base year varies by country),GDP deflator: linked series (base year varies by country),GDP per capita growth (annual %)
1971,1.642930384,19496.0947,882.5978864,501199112456,11071208654480,4.527049648,..,-0.6263505086
1972,-0.5533013124,18947.15707,950.7235971,552453366225,11009951511699,5.017763844,..,-2.815628639
1973,3.295521135,19121.31451,1130.531825,672406564751,11372786790745,5.91241687,..,0.9191744883
1974,1.18533626,18902.00955,1303.836023,793778760988,11507592556387,6.897869881,..,-1.14691362
1975,9.149912015,20158.03042,1367.550209,852124496862,12560527150318,6.784145973,..,6.644906554
1976,1.663103637,20026.37892,1439.889444,918116831146,12769421734133,7.189964043,..,-0.6530970142
1977,7.254764586,20992.68698,1594.453105,1040235198686,13695813219917,7.595278805,..,4.825176162
1978,5.712532089,21690.18,1687.961065,1126713683357,14478190944954,7.782144107,..,3.322552378
1979,-5.238182703,20087.68694,1809.121812,1235621792693,13719796851199,9.006123094,..,-7.388104045
1980,6.735821528,20951.25302,2104.04564,1470628683724,14643937881100,10.04257663,..,4.298982163
1981,6.006203624,21699.48036,2415.140197,1727755053221,15523482608784,11.12994485,..,3.571277326
1982,3.47573324,21936.86269,2639.226132,1932545634079,16063037453872,12.03100995,..,1.093953953
1983,7.288892901,22995.9823,3003.276516,2250742389632,17233855050571,13.06000534,..,4.828035912
1984,3.820737856,23332.72813,3288.696691,2521882497861,17892315474532,14.09477997,..,1.464368109
1985,5.254299223,24009.93304,3627.595524,2845340853904,18832431267542,15.1087282,..,2.902382028
1986,4.77656417,24604.21887,3969.772679,3183659412846,19731974431900,16.13452026,..,2.475166566
1987,3.965355634,25027.28477,4414.695681,3618647035299,20514417391716,17.6395311,..,1.719485211
1988,9.62778292,26854.13173,5126.912471,4293629901196,22489500965462,19.09170821,..,7.299421295
1989,5.947343328,27856.96572,5767.071373,4932776135721,23827028800692,20.70243914,22.26247304,3.734375018
1990,5.533454563,28794.37296,6597.089802,5761092055693,25145486613106,22.91103825,22.91103872,3.365073043
1991,1.056831433,28511.15883,7430.499165,6622604835400,25411232019600,26.06172275,26.06172328,-0.9835745813
1992,5.482396022,29477.80664,8371.165276,7611959317400,26804376392900,28.3981959,28.39819648,3.390419232
1993,4.75077622,30275.69061,9445.641356,8759924253800,28077792332400,31.19876431,31.19876496,2.706727733
1994,6.658924067,31670.27624,10866.8366,10275700589300,29947471203600,34.31241496,34.31241567,4.606288441
1995,7.57449184,33421.60498,12507.04871,12055826758200,32215839966300,37.42204695,37.42204772,5.529881465
1996,7.549522249,35269.95913,14198.54769,13948159747000,34647981972200,40.25677385,40.25677468,5.530417086
1997,4.049820849,36018.74522,15439.04316,15452938758400,36051163169900,42.86391173,42.86391261,2.123013766
1998,6.184415821,37549.12558,17384.26243,17722970117100,38280717008600,46.29738287,46.29738382,4.248844181
1999,8.845755561,40139.30763,19153.66265,19882615729000,41666935662200,47.71796969,47.71797067,6.8981155
2000,3.840991157,40950.55864,20253.03058,21398856906300,43267358976300,49.45727544,49.45727646,2.021088695
2001,4.823966264,42190.28669,21537.14208,23152429571000,45354561776600,51.04763152,51.04763257,3.027377624
2002,3.803975321,43061.4634,22798.63346,24926137846800,47079838113700,52.94440008,52.94440117,2.064875058
2003,7.860381476,45685.50215,25123.45475,27925301413900,50780492987500,54.99218257,54.99218371,6.093705485
2004,7.922936613,48515.10383,28207.02692,31863319237500,54803799258600,58.14071227,58.14071347,6.193653448
2005,7.923430621,51538.54013,31649.47057,36321246607100,59146140270800,61.40932687,61.40932813,6.231948516
2006,8.060732573,54838.69948,36505.18257,42546289837900,63913752465300,66.56828647,66.56828785,6.403284515
2007,7.660815065,58155.43948,41401.47772,48986620590600,68810066842800,71.19106671,71.19106818,6.04817406
2008,3.08669806,59078.71415,45925.63705,55141523846600,70934025840800,77.73635176,77.73635337,1.587598136
2009,7.861888833,62830.8557,52281.09951,63664065417200,76510780097200,83.209275,83.20927672,6.351088711
2010,8.497584702,67255.62251,61853.58968,76344721043700,83012348441800,91.96790896,91.96791086,7.042346887
2011,5.241344743,69874.5096,69874.50816,87363310000000,87363311802800,99.99999794,100,3.893930345
2012,5.456358951,72785.13218,78560.1857,99440131041500,92130167686000,107.9343862,107.9343862,4.165499831
2013,6.386106401,76522.61736,87703.91195,112335216116400,98013698221800,114.6117514,114.6117514,5.134956907
2014,7.410227605,81256.8666,96232.7804,124679592925500,105276736344200,118.4303363,118.4303363,6.186731983
2015,7.996253444,86779.92785,105116.5793,137718739000000,113694931000000,121.1300608,121.1300608,6.797039412
2016,8.256305844,92926.41839,116206.5502,153916690000000,123081932232684,125.0522211,125.0522211,7.082848187
2017,7.043820855,98420.59799,127727.1203,170983038000000,131751603044496,129.7768179,129.7768179,5.912397886
2018,6.119586841,103365.7147,140255.7583,189712369000000,139814256807717,135.6888584,135.6888584,5.024473331
2019,5.023873428,107462.266,149183.9443,203847590120160,146838348103640,138.8244915,138.8244915,3.963162537
